Mês,Empresa,Linha,Qtd_Viagens,Ano,Data,Inteira,Estudante,Gratuidade,Social,Integracao,Qtd_Passageiros,Eficiencia
January,CONCEIÇÃO,21,3684,2018,2018-01-01,86213,22999,24535,11362,8671,153780,41.74267100977199
January,CONCEIÇÃO,22,1737,2018,2018-01-01,30980,8015,11266,3157,3230,56648,32.6125503742084
January,CONCEIÇÃO,30,2500,2018,2018-01-01,46502,14133,10456,4728,5346,81165,32.466
January,CONCEIÇÃO,31,2478,2018,2018-01-01,51163,15651,9987,3062,7587,87450,35.29055690072639
January,CONCEIÇÃO,41,2296,2018,2018-01-01,38141,10594,8495,2791,7924,67945,29.592770034843205
January,CONCEIÇÃO,59,2650,2018,2018-01-01,56320,14270,17887,8946,7332,104755,39.530188679245285
January,CONCEIÇÃO,63,3768,2018,2018-01-01,91738,35972,20805,8953,14630,172098,45.67356687898089
January,CONCEIÇÃO,71,2389,2018,2018-01-01,47157,12583,14940,7848,4209,86737,36.30682293846798
January,CONCEIÇÃO,76,627,2018,2018-01-01,17503,4620,4694,2107,1604,30528,48.688995215311
January,CONCEIÇÃO,83,1284,2018,2018-01-01,35189,8318,4332,3616,1194,52649,41.003894080996886
January,CONCEIÇÃO,411,1095,2018,2018-01-01,24116,8077,6377,2234,4330,45134,41.21826484018265
January,CONCEIÇÃO,587,1,2018,2018-01-01,0,0,0,0,0,0,0.0
January,CONCEIÇÃO,599,1582,2018,2018-01-01,29196,8156,5647,1506,5740,50245,31.760429835651074
January,CONCEIÇÃO,905,249,2018,2018-01-01,1464,234,281,523,38,2540,10.200803212851406
January,CONCEIÇÃO,2369,397,2018,2018-01-01,3545,984,1465,465,1150,7609,19.16624685138539
January,CONCEIÇÃO,3001,725,2018,2018-01-01,9791,2830,2342,1270,1722,17955,24.76551724137931
January,CONCEIÇÃO,3101,343,2018,2018-01-01,4730,1382,994,283,937,8326,24.27405247813411
January,CONCEIÇÃO,6301,1111,2018,2018-01-01,21261,6602,4391,2465,2287,37006,33.308730873087306
January,CONCEIÇÃO,7601,40,2018,2018-01-01,514,157,209,749,35,1664,41.6
January,DUNAS - URB,33,5137,2018,2018-01-01,160746,50007,27223,13923,20083,271982,52.945688144831614
January,DUNAS - URB,40,4680,2018,2018-01-01,137145,37416,44385,17586,18682,255214,54.53290598290598
January,DUNAS - URB,57,559,2018,2018-01-01,6340,1985,1745,484,945,11499,20.57066189624329
January,DUNAS - URB,98,1,2018,2018-01-01,0,0,0,0,0,0,0.0
January,DUNAS - URB,331,1562,2018,2018-01-01,44344,14478,7734,2179,3982,72717,46.553777208706784
January,DUNAS - URB,332,600,2018,2018-01-01,8951,3068,1432,823,949,15223,25.371666666666666
January,DUNAS - URB,411,761,2018,2018-01-01,17308,5677,4004,1620,3422,32031,42.090670170827856
January,DUNAS - URB,738,1,2018,2018-01-01,0,0,0,0,0,0,0.0
January,DUNAS - URB,740,1,2018,2018-01-01,0,0,0,0,0,0,0.0
January,DUNAS - URB,7451,1,2018,2018-01-01,0,0,0,0,0,0,0.0
January,DUNAS - URB,7452,2,2018,2018-01-01,0,0,0,0,0,0,0.0
January,GUANABARA - URB,2,2445,2018,2018-01-01,72058,18212,12114,5733,7250,115367,47.18486707566462
January,GUANABARA - URB,4,2343,2018,2018-01-01,59194,14393,7345,4642,7159,92733,39.57874519846351
January,GUANABARA - URB,5,1481,2018,2018-01-01,35493,8135,7854,4194,2307,57983,39.15124915597569
January,GUANABARA - URB,8,3347,2018,2018-01-01,107398,28884,25996,14179,19402,195859,58.51777711383328
January,GUANABARA - URB,13,438,2018,2018-01-01,5249,1456,1266,341,530,8842,20.187214611872147
January,GUANABARA - URB,18,93,2018,2018-01-01,1394,295,296,94,143,2222,23.892473118279568
January,GUANABARA - URB,19,1923,2018,2018-01-01,33263,7567,14241,5481,4289,64841,33.71866874674987
January,GUANABARA - URB,20,2373,2018,2018-01-01,37001,9838,18801,7591,4745,77976,32.85967130214918
January,GUANABARA - URB,25,1421,2018,2018-01-01,19600,6235,7849,2907,2444,39035,27.47009148486981
January,GUANABARA - URB,60,3613,2018,2018-01-01,119606,33825,19522,9796,11865,194614,53.864932189316356
January,GUANABARA - URB,64,3453,2018,2018-01-01,99273,26816,28868,13256,9451,177664,51.45207066319143
January,GUANABARA - URB,67,1301,2018,2018-01-01,34650,7981,7241,3104,2215,55191,42.42198308993082
January,GUANABARA - URB,70,2896,2018,2018-01-01,72573,17394,16171,9172,4969,120279,41.53280386740332
January,GUANABARA - URB,72,2414,2018,2018-01-01,74315,16681,10574,6014,8257,115841,47.987158243579124
