Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
1,CONCEIÇÃO,21,5293,3338,26175,4382,26,9728,4806,4710,25836,0,2276
1,CONCEIÇÃO,30,3606,1826,18560,4966,57,3893,1721,4520,13290,0,1803
1,CONCEIÇÃO,41,1442,660,7197,2415,31,1529,730,1654,3750,0,790
1,CONCEIÇÃO,59,3588,3122,19904,4476,68,9107,4120,4022,20966,0,1896
1,CONCEIÇÃO,63,7854,4558,39314,7877,60,8858,3891,6611,28142,0,2396
1,CONCEIÇÃO,76,1248,803,7145,1314,54,2283,785,1540,6619,0,579
1,CONCEIÇÃO,83,1352,1228,10452,818,0,1553,658,2026,10500,0,739
1,CONCEIÇÃO,411,1992,1062,7058,3109,0,2490,1126,1878,7165,0,736
1,CONCEIÇÃO,587,106,27,362,158,0,312,51,161,238,0,175
1,CONCEIÇÃO,589,98,25,417,287,0,206,112,157,107,0,419
1,CONCEIÇÃO,599,2486,1388,12266,4494,50,3292,836,3610,7885,0,1092
1,CONCEIÇÃO,905,151,126,1740,65,0,64,32,243,921,0,133
1,CONCEIÇÃO,2271,4086,2725,20324,2466,0,8968,3962,3828,20471,0,1825
1,CONCEIÇÃO,7601,30,25,147,22,0,77,21,30,243,0,23
1,DUNAS - URB,33,12725,7860,62312,16995,306,11594,4817,14206,48436,0,2864
1,DUNAS - URB,40,7322,5338,34084,8711,225,15340,7146,7221,37721,0,2340
1,DUNAS - URB,331,2304,1384,10105,1987,34,2219,881,2809,8435,0,731
1,DUNAS - URB,332,605,313,2686,475,2,427,201,1024,1737,0,526
1,DUNAS - URB,411,859,500,3509,1688,0,1088,517,988,3267,0,340
1,DUNAS - URB,585,371,169,536,342,0,515,143,359,868,0,855
1,GUANABARA - URB,2,4905,2782,28189,6894,221,5894,2533,4647,16699,0,2306
1,GUANABARA - URB,4,2537,1644,18941,3206,24,2046,1137,2599,12181,0,1260
1,GUANABARA - URB,5,3343,2259,15463,1580,25,4409,2560,3002,15958,0,1345
1,GUANABARA - URB,8,7908,4459,47774,15237,573,11128,3967,8387,30504,0,2450
1,GUANABARA - URB,13,0,0,0,0,0,0,0,0,0,0,1
1,GUANABARA - URB,15,4501,2999,21244,3211,151,6895,3783,4373,20972,0,958
1,GUANABARA - URB,19,1354,794,6640,1250,1,3629,1739,1258,6670,0,1052
1,GUANABARA - URB,20,1069,545,4575,754,18,3146,1835,1019,4484,0,770
1,GUANABARA - URB,25,1533,775,8280,1128,5,3141,2006,1713,6828,0,1256
1,GUANABARA - URB,29,3177,1810,17474,3877,23,3445,1660,3012,12865,0,1105
1,GUANABARA - URB,43,3411,2127,17611,3088,47,3971,1510,3260,13756,0,1176
1,GUANABARA - URB,60,8261,5000,43629,7699,230,7832,3613,8658,31117,0,2476
1,GUANABARA - URB,64,6967,4480,34092,4792,46,10633,5734,6136,30224,0,1873
1,GUANABARA - URB,67,49,30,206,24,0,64,38,34,217,0,10
1,GUANABARA - URB,70,2937,2007,18706,2165,23,3937,2422,2531,13977,0,1123
1,GUANABARA - URB,72,3958,2588,24584,5272,45,3482,1716,4470,20083,0,1586
1,GUANABARA - URB,75,3725,1905,14519,2560,14,3079,1453,4272,11608,0,987
1,GUANABARA - URB,76,509,358,2711,443,19,1024,326,540,2774,0,217
1,GUANABARA - URB,77,5319,3873,37174,7810,60,4560,2315,6316,27691,0,2244
1,GUANABARA - URB,79,6697,4447,33611,6023,295,5837,2508,5641,23649,0,2005
1,GUANABARA - URB,84,6282,3584,30300,7053,128,7745,3268,7750,22544,0,1834
1,GUANABARA - URB,125,22,20,534,76,0,19,1,22,190,0,30
1,GUANABARA - URB,581,263,102,1234,234,0,518,257,220,691,0,643
1,GUANABARA - URB,592,126,70,580,133,0,313,162,101,499,0,556
1,GUANABARA - URB,593,626,179,1263,243,0,567,223,326,1255,0,446
1,GUANABARA - URB,1516,72,49,327,54,7,102,59,70,329,0,28
1,GUANABARA - URB,1778,2054,1273,10642,1593,76,3042,1562,1941,8581,0,682
1,GUANABARA - URB,7601,133,91,688,106,0,286,118,130,771,0,44
1,REUNIDAS,7,6450,3630,36362,7503,104,5788,2359,7509,28913,0,2028
1,REUNIDAS,26,1923,880,10153,2074,34,1886,773,1981,4606,0,669
1,REUNIDAS,27,4540,2691,19722,2485,72,6200,2849,4181,19174,0,1553
1,REUNIDAS,29,4471,2659,26440,5732,49,4985,2351,4662,18955,0,1441
1,REUNIDAS,35,6752,3309,27951,6579,541,7201,3474,6949,19295,0,1677
1,REUNIDAS,43,3860,2271,18136,3040,41,4272,1640,3640,13740,0,1168
1,REUNIDAS,46,40,14,153,22,1,48,18,34,141,0,4
1,REUNIDAS,68,974,460,5785,981,15,1502,517,1245,4122,0,497
1,REUNIDAS,73,17147,13740,113664,32395,844,13728,6984,17813,83617,0,4736
1,REUNIDAS,78,2677,1550,15835,1956,56,1736,616,2998,8775,0,661
1,REUNIDAS,9018,123,101,367,86,0,61,7,45,243,0,48
1,SANTA MARIA - URB,24,4654,2590,19709,5927,68,4905,2532,5508,14930,0,1769
1,SANTA MARIA - URB,37,4811,2675,18440,6476,0,4664,2416,4366,14201,0,1965
1,SANTA MARIA - URB,38,12310,9169,51903,12029,429,26895,14299,10502,65680,0,4039
1,SANTA MARIA - URB,39,4937,2100,23709,5751,124,4054,1916,4821,13118,0,2017
1,SANTA MARIA - URB,46,7042,4701,34484,15637,1,4777,3036,7001,26962,0,1758
1,SANTA MARIA - URB,54,4688,2878,20879,9267,60,4828,3417,4664,16865,0,2278
1,SANTA MARIA - URB,56,840,603,10949,3683,2,871,625,1486,6228,0,989
1,SANTA MARIA - URB,83,1651,1296,12699,861,1,2039,927,2767,12266,0,995
1,SANTA MARIA - URB,331,2377,1409,9984,1865,52,2357,899,2965,8525,0,764
1,SANTA MARIA - URB,411,1304,695,5174,1849,0,1390,597,1410,4532,0,483
1,SANTA MARIA - URB,536,370,154,2199,414,0,747,352,458,1640,0,583
1,VIA SUL - URB,50,12197,7190,64298,16408,206,11840,5081,11907,44422,0,3937
1,VIA SUL - URB,51,5028,2748,17401,6946,1,5029,2343,4423,13427,0,1816
1,VIA SUL - URB,52,4520,2512,17214,6442,99,6084,3648,4328,15239,0,1723
2,CONCEIÇÃO,21,5531,3402,24559,4217,31,9184,4541,4654,23705,0,2122
2,CONCEIÇÃO,30,3552,1610,18642,4944,84,3809,1562,4787,12106,0,1695
2,CONCEIÇÃO,41,1655,602,7759,2510,58,1468,694,1778,3995,0,718
2,CONCEIÇÃO,59,3837,2689,19410,4440,76,8583,3935,3817,18258,0,1770
2,CONCEIÇÃO,63,7723,4014,37125,7875,49,8454,3507,6441,25699,0,2556
2,CONCEIÇÃO,76,765,407,4364,767,26,1266,427,967,3513,0,325
2,CONCEIÇÃO,83,1643,1178,11756,935,0,1744,749,2391,11133,0,804
2,CONCEIÇÃO,411,2033,1016,7306,3054,0,2336,1050,2205,6766,0,646
2,CONCEIÇÃO,587,115,27,308,126,0,369,77,161,266,0,187
2,CONCEIÇÃO,588,0,0,0,0,0,0,0,0,0,0,1
2,CONCEIÇÃO,589,109,16,453,264,0,230,104,110,125,0,361
2,CONCEIÇÃO,599,2697,1230,11857,4420,81,3144,749,3556,7162,0,1010
2,CONCEIÇÃO,905,98,117,1728,71,0,48,39,184,670,0,115
2,CONCEIÇÃO,2271,4180,2383,19240,2467,0,8474,3608,3466,17731,0,1720
2,CONCEIÇÃO,7601,21,10,100,17,0,53,27,15,151,0,16
2,DUNAS - URB,33,13419,6876,59469,15863,360,11059,4294,13741,43179,0,2645
2,DUNAS - URB,40,8072,5269,32467,8683,188,14714,6540,7011,34221,0,2232
2,DUNAS - URB,331,2640,1258,10040,1787,26,2146,879,2973,8050,0,670
2,DUNAS - URB,332,674,283,2834,484,1,373,178,1012,1623,0,469
2,DUNAS - URB,411,866,455,3544,1801,0,1004,425,1025,2757,0,314
2,DUNAS - URB,412,0,0,0,0,0,0,0,0,0,0,1
2,DUNAS - URB,585,311,134,592,331,0,527,186,371,752,0,773
2,GUANABARA - URB,2,5034,2728,26041,6588,158,5516,2485,4694,14808,0,2126
2,GUANABARA - URB,4,2684,1490,17805,2959,14,1996,1098,2645,10441,0,1135
2,GUANABARA - URB,5,3320,2096,14890,1588,23,4243,2291,3140,15027,0,1343
2,GUANABARA - URB,8,8642,4207,44500,15030,469,10065,3537,7966,25675,0,2276
2,GUANABARA - URB,13,15,8,50,21,0,30,13,9,57,0,15
2,GUANABARA - URB,15,4725,2741,19910,3053,121,6448,3529,4121,18680,0,803
2,GUANABARA - URB,19,1341,745,6488,1179,6,3351,1638,1152,6058,0,988
2,GUANABARA - URB,20,1119,590,4259,699,28,2800,1596,960,4051,0,712
2,GUANABARA - URB,25,1830,882,8216,1210,1,2944,1762,1515,6116,0,1184
2,GUANABARA - URB,29,2845,1541,15907,3678,18,3124,1444,2937,11132,0,944
2,GUANABARA - URB,43,3665,2000,16883,3101,30,3933,1454,3413,11925,0,1026
2,GUANABARA - URB,60,8486,4587,40604,7110,188,7491,3322,8294,27447,0,2234
2,GUANABARA - URB,64,7589,4145,30776,4569,65,9776,4985,5959,27030,0,1749
2,GUANABARA - URB,70,2958,1783,17553,1932,17,3772,2141,2415,12615,0,995
2,GUANABARA - URB,72,4081,2261,23222,4997,36,3396,1608,4511,18053,0,1427
2,GUANABARA - URB,75,3618,1796,14406,2569,13,3020,1317,3979,11140,0,938
2,GUANABARA - URB,76,1160,669,4855,780,46,1941,662,1264,4567,0,402
2,GUANABARA - URB,77,5287,3575,34661,7533,73,4258,2250,6220,24374,0,2044
2,GUANABARA - URB,79,7421,4256,32043,5727,211,5401,2149,5415,21154,0,1766
